-0.01069, -0.00672, 0.01283
-0.00275, -0.00764, 0.00153
0.00458, -0.00702, -0.00519
0.00672, -0.01588, -0.00244
0.05192, -0.10171, -0.16280
0.04459, -0.08552, -0.30482
0.10049, 0.19426, 0.08522
0.01863, 0.39309, 0.08583
0.19700, 0.08705, 0.25290
0.07055, -0.13775, 0.50549
0.09255, -0.07911, 0.73212
0.01344, -0.12431, 0.61758
-0.03115, 0.00000, 0.88087
0.00275, 0.03696, 0.47495
-0.43555, -0.44410, -0.16616
-0.39584, -0.79871, -2.27120
0.55772, -0.54275, -2.29013
-0.14722, -1.73455, -1.43095
0.40867, -0.99388, 0.21655
-0.40164, -0.71899, 0.48319
0.59895, 0.47434, -0.15119
0.04123, 1.64873, 1.08429
0.30879, 1.60688, 1.11544
0.18021, 1.18844, 1.29137
-0.09927, 0.32437, 1.01465
-0.17318, 0.60445, 0.69180
-0.52076, 0.31490, -0.26084
-0.31551, -0.78893, -2.61450
0.39615, -0.49816, -2.36496
-0.34117, -2.16185, -1.04061
0.45662, -0.93982, 0.70952
-0.39187, 1.22387, 0.77549
0.30055, 0.15669, 0.13195
0.86346, 1.29045, 0.38973
0.35736, 0.99724, 0.81581
-0.00031, 0.79443, 0.81703
-0.03390, 0.46640, 0.26664
0.00611, 0.27642, 0.46609
0.12217, -0.36194, 0.48289
-0.15699, 0.28222, -0.07239
-0.19853, -0.04001, -0.78863
0.05986, -0.32437, 0.08308
0.16860, 0.28527, 0.22235
0.08522, 0.08735, 0.17532
-0.02107, 0.15424, 0.17043
0.03574, 0.01955, 0.07147
0.04948, -0.05437, 0.08399
0.04490, -0.00122, -0.03574
0.01466, 0.01130, 0.01619
-0.00092, -0.04184, 0.01772
